Genotype;Treatment;Experiment;Seedling;Zone;Nr_Puncta
Col;Ctrl;1;1;1;0
Col;Ctrl;1;1;2;2
Col;Ctrl;1;1;3;1
Col;Ctrl;1;2;1;0
Col;Ctrl;1;2;2;0
Col;Ctrl;1;2;3;0
Col;Ctrl;1;3;1;0
Col;Ctrl;1;3;2;0
Col;Ctrl;1;3;3;0
Col;Ctrl;1;4;1;0
Col;Ctrl;1;4;2;0
Col;Ctrl;1;4;3;0
Col;Ctrl;1;5;1;1
Col;Ctrl;1;5;2;0
Col;Ctrl;1;5;3;1
Col;RALF23;1;1;1;8
Col;RALF23;1;1;2;20
Col;RALF23;1;1;3;5
Col;RALF23;1;2;1;3
Col;RALF23;1;2;2;17
Col;RALF23;1;2;3;9
Col;RALF23;1;3;1;3
Col;RALF23;1;3;2;20
Col;RALF23;1;3;3;3
Col;RALF23;1;4;1;2
Col;RALF23;1;4;2;9
Col;RALF23;1;4;3;1
Col;RALF23;1;5;1;2
Col;RALF23;1;5;2;15
Col;RALF23;1;5;3;3
fer;Ctrl;1;1;1;0
fer;Ctrl;1;1;2;0
fer;Ctrl;1;1;3;0
fer;Ctrl;1;2;1;0
fer;Ctrl;1;2;2;2
fer;Ctrl;1;2;3;0
fer;Ctrl;1;3;1;0
fer;Ctrl;1;3;2;2
fer;Ctrl;1;3;3;0
fer;Ctrl;1;4;1;2
fer;Ctrl;1;4;2;1
fer;Ctrl;1;4;3;1
fer;Ctrl;1;5;1;0
fer;Ctrl;1;5;2;0
fer;Ctrl;1;5;3;0
fer;RALF23;1;1;1;0
fer;RALF23;1;1;2;0
fer;RALF23;1;1;3;0
fer;RALF23;1;2;1;0
fer;RALF23;1;2;2;0
fer;RALF23;1;2;3;0
fer;RALF23;1;3;1;0
fer;RALF23;1;3;2;0
fer;RALF23;1;3;3;0
fer;RALF23;1;4;1;0
fer;RALF23;1;4;2;0
fer;RALF23;1;4;3;0
fer;RALF23;1;5;1;0
fer;RALF23;1;5;2;1
fer;RALF23;1;5;3;0
lrx;Ctrl;1;1;1;0
lrx;Ctrl;1;1;2;1
lrx;Ctrl;1;1;3;2
lrx;Ctrl;1;2;1;0
lrx;Ctrl;1;2;2;2
lrx;Ctrl;1;2;3;0
lrx;Ctrl;1;3;1;3
lrx;Ctrl;1;3;2;0
lrx;Ctrl;1;3;3;2
lrx;Ctrl;1;4;1;2
lrx;Ctrl;1;4;2;0
lrx;Ctrl;1;4;3;1
lrx;Ctrl;1;5;1;0
lrx;Ctrl;1;5;2;0
lrx;Ctrl;1;5;3;1
lrx;RALF23;1;1;1;10
lrx;RALF23;1;1;2;32
lrx;RALF23;1;1;3;10
lrx;RALF23;1;2;1;6
lrx;RALF23;1;2;2;30
lrx;RALF23;1;2;3;9
lrx;RALF23;1;3;1;3
lrx;RALF23;1;3;2;29
lrx;RALF23;1;3;3;8
lrx;RALF23;1;4;1;6
lrx;RALF23;1;4;2;23
lrx;RALF23;1;4;3;4
lrx;RALF23;1;5;1;5
lrx;RALF23;1;5;2;24
lrx;RALF23;1;5;3;7
ferlrx;Ctrl;1;1;1;0
ferlrx;Ctrl;1;1;2;0
ferlrx;Ctrl;1;1;3;0
ferlrx;Ctrl;1;2;1;0
ferlrx;Ctrl;1;2;2;2
ferlrx;Ctrl;1;2;3;0
ferlrx;Ctrl;1;3;1;0
ferlrx;Ctrl;1;3;2;0
ferlrx;Ctrl;1;3;3;0
ferlrx;Ctrl;1;4;1;0
ferlrx;Ctrl;1;4;2;1
ferlrx;Ctrl;1;4;3;1
ferlrx;Ctrl;1;5;1;1
ferlrx;Ctrl;1;5;2;2
ferlrx;Ctrl;1;5;3;3
ferlrx;RALF23;1;1;1;0
ferlrx;RALF23;1;1;2;0
ferlrx;RALF23;1;1;3;0
ferlrx;RALF23;1;2;1;0
ferlrx;RALF23;1;2;2;0
ferlrx;RALF23;1;2;3;4
ferlrx;RALF23;1;3;1;0
ferlrx;RALF23;1;3;2;0
ferlrx;RALF23;1;3;3;0
ferlrx;RALF23;1;4;1;1
ferlrx;RALF23;1;4;2;0
ferlrx;RALF23;1;4;3;1
ferlrx;RALF23;1;5;1;0
ferlrx;RALF23;1;5;2;0
ferlrx;RALF23;1;5;3;0
Col;Ctrl;2;1;1;0
Col;Ctrl;2;1;2;1
Col;Ctrl;2;1;3;0
Col;Ctrl;2;2;1;0
Col;Ctrl;2;2;2;0
Col;Ctrl;2;2;3;0
Col;Ctrl;2;3;1;0
Col;Ctrl;2;3;2;0
Col;Ctrl;2;3;3;0
Col;Ctrl;2;4;1;0
Col;Ctrl;2;4;2;1
Col;Ctrl;2;4;3;1
Col;Ctrl;2;5;1;0
Col;Ctrl;2;5;2;0
Col;Ctrl;2;5;3;1
Col;RALF23;2;1;1;4
Col;RALF23;2;1;2;22
Col;RALF23;2;1;3;2
Col;RALF23;2;2;1;4
Col;RALF23;2;2;2;11
Col;RALF23;2;2;3;3
Col;RALF23;2;3;1;8
Col;RALF23;2;3;2;28
Col;RALF23;2;3;3;4
Col;RALF23;2;4;1;2
Col;RALF23;2;4;2;18
Col;RALF23;2;4;3;7
Col;RALF23;2;5;1;4
Col;RALF23;2;5;2;27
Col;RALF23;2;5;3;5
fer;Ctrl;2;1;1;0
fer;Ctrl;2;1;2;0
fer;Ctrl;2;1;3;1
fer;Ctrl;2;2;1;0
fer;Ctrl;2;2;2;0
fer;Ctrl;2;2;3;0
fer;Ctrl;2;3;1;0
fer;Ctrl;2;3;2;0
fer;Ctrl;2;3;3;0
fer;Ctrl;2;4;1;0
fer;Ctrl;2;4;2;3
fer;Ctrl;2;4;3;0
fer;Ctrl;2;5;1;0
fer;Ctrl;2;5;2;1
fer;Ctrl;2;5;3;0
fer;RALF23;2;1;1;0
fer;RALF23;2;1;2;0
fer;RALF23;2;1;3;0
fer;RALF23;2;2;1;0
fer;RALF23;2;2;2;0
fer;RALF23;2;2;3;0
fer;RALF23;2;3;1;0
fer;RALF23;2;3;2;0
fer;RALF23;2;3;3;0
fer;RALF23;2;4;1;0
fer;RALF23;2;4;2;0
fer;RALF23;2;4;3;0
fer;RALF23;2;5;1;0
fer;RALF23;2;5;2;0
fer;RALF23;2;5;3;0
lrx;Ctrl;2;1;1;0
lrx;Ctrl;2;1;2;0
lrx;Ctrl;2;1;3;0
lrx;Ctrl;2;2;1;0
lrx;Ctrl;2;2;2;0
lrx;Ctrl;2;2;3;0
lrx;Ctrl;2;3;1;1
lrx;Ctrl;2;3;2;0
lrx;Ctrl;2;3;3;0
lrx;Ctrl;2;4;1;0
lrx;Ctrl;2;4;2;0
lrx;Ctrl;2;4;3;0
lrx;Ctrl;2;5;1;0
lrx;Ctrl;2;5;2;2
lrx;Ctrl;2;5;3;0
lrx;RALF23;2;1;1;2
lrx;RALF23;2;1;2;20
lrx;RALF23;2;1;3;1
lrx;RALF23;2;2;1;6
lrx;RALF23;2;2;2;28
lrx;RALF23;2;2;3;9
lrx;RALF23;2;3;1;6
;;;;;
lrx;RALF23;2;3;3;8
lrx;RALF23;2;4;1;2
lrx;RALF23;2;4;2;27
lrx;RALF23;2;4;3;11
lrx;RALF23;2;5;1;4
lrx;RALF23;2;5;2;28
lrx;RALF23;2;5;3;13
ferlrx;Ctrl;2;1;1;1
ferlrx;Ctrl;2;1;2;0
ferlrx;Ctrl;2;1;3;1
ferlrx;Ctrl;2;2;1;0
ferlrx;Ctrl;2;2;2;0
ferlrx;Ctrl;2;2;3;0
ferlrx;Ctrl;2;3;1;0
ferlrx;Ctrl;2;3;2;1
ferlrx;Ctrl;2;3;3;0
ferlrx;Ctrl;2;4;1;0
ferlrx;Ctrl;2;4;2;1
ferlrx;Ctrl;2;4;3;0
ferlrx;RALF23;2;1;1;0
ferlrx;RALF23;2;1;2;0
ferlrx;RALF23;2;1;3;0
ferlrx;RALF23;2;2;1;0
ferlrx;RALF23;2;2;2;0
ferlrx;RALF23;2;2;3;0
ferlrx;RALF23;2;3;1;0
ferlrx;RALF23;2;3;2;1
ferlrx;RALF23;2;3;3;0
ferlrx;RALF23;2;4;1;0
ferlrx;RALF23;2;4;2;0
ferlrx;RALF23;2;4;3;0
ferlrx;RALF23;2;5;1;0
ferlrx;RALF23;2;5;2;0
ferlrx;RALF23;2;5;3;0
